Id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
5342,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,4423
5343,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,In-flight meal not included,13344
5344,SpiceJet,27/04/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 28 Apr,2h 55m,non-stop,No info,3971
5345,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,18371
5346,Jet Airways,27/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 29 Mar,33h 15m,2 stops,In-flight meal not included,6643
5347,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:15,7h 45m,1 stop,No info,15077
5348,Air India,1/05/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,6121
5349,SpiceJet,3/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,14:30,1h 20m,non-stop,No info,5755
5350,Air India,9/04/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 10 Apr,12h 45m,1 stop,No info,4487
5351,SpiceJet,21/05/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158
5352,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 02 May,8h 40m,1 stop,In-flight meal not included,8586
5353,Air India,1/06/2019,Mumbai,Hyderabad,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,3100
5354,Jet Airways,9/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,3210
5355,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 10 May,17h 20m,1 stop,In-flight meal not included,12373
5356,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,18:50,12h 10m,1 stop,No info,15135
5357,Jet Airways,27/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13292
5358,SpiceJet,6/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2017
5359,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,In-flight meal not included,10919
5360,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,21:55,22:55 07 Mar,25h,1 stop,No info,12395
5361,SpiceJet,21/06/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
5362,Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,2228
5363,Air India,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 22 Mar,23h 30m,2 stops,No info,8236
5364,Air Asia,3/06/2019,Delhi,Cochin,DEL → BLR → COK,16:45,06:35 04 Jun,13h 50m,1 stop,No info,11410
5365,Jet Airways,21/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 22 May,13h 30m,2 stops,No info,15129
5366,GoAir,24/06/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,3514
5367,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,13469
5368,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 10 Apr,3h,non-stop,No info,3943
5369,Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,21:10,00:05 04 Mar,2h 55m,non-stop,No info,7608
5370,Air India,27/05/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,6961
5371,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:00,9h 45m,1 stop,No info,12042
5372,Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,12:25,6h 40m,1 stop,Business class,62427
5373,Air India,09/03/2019,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,21:25,10h 55m,2 stops,No info,9586
5374,SpiceJet,1/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
5375,Jet Airways,9/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,12:35 10 Jun,27h 10m,2 stops,No info,13882
5376,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,8781
5377,Air Asia,12/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,5192
5378,IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,22:20,15h 40m,1 stop,No info,6442
5379,Jet Airways,6/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 07 May,13h 45m,1 stop,No info,15554
