Id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
4317,Multiple carriers,18/05/2019,Delhi,Cochin,DEL â†’ BOM â†’ COK,08:30,19:15,10h 45m,1 stop,No info,7887
3372,Air Asia,21/05/2019,Kolkata,Banglore,CCU â†’ BBI â†’ BLR,19:55,23:30,3h 35m,1 stop,No info,5162
1584,Jet Airways,6/06/2019,Delhi,Cochin,DEL â†’ BOM â†’ COK,19:15,19:00 07 Jun,23h 45m,1 stop,No info,14714
7034,IndiGo,21/05/2019,Delhi,Cochin,DEL â†’ PNQ â†’ COK,23:30,04:35 22 May,5h 5m,1 stop,No info,8745
9892,Air India,3/06/2019,Delhi,Cochin,DEL â†’ GOI â†’ BOM â†’ COK,10:55,19:15,8h 20m,2 stops,No info,12173
9640,Multiple carriers,9/06/2019,Delhi,Cochin,DEL â†’ BOM â†’ COK,16:00,01:30 10 Jun,9h 30m,1 stop,No info,13587
9067,IndiGo,1/06/2019,Delhi,Cochin,DEL â†’ MAA â†’ COK,02:00,07:25,5h 25m,1 stop,No info,5636
4830,IndiGo,24/03/2019,Kolkata,Banglore,CCU â†’ HYD â†’ BLR,15:10,19:50,4h 40m,1 stop,No info,7476
2731,Multiple carriers,9/05/2019,Delhi,Cochin,DEL â†’ BOM â†’ COK,10:20,19:00,8h 40m,1 stop,No info,9794
10113,Jet Airways,01/03/2019,Banglore,New Delhi,BLR â†’ BOM â†’ DEL,07:00,13:15,6h 15m,1 stop,No info,26890
5056,Air India,18/05/2019,Delhi,Cochin,DEL â†’ BLR â†’ COK,09:45,23:00,13h 15m,1 stop,No info,8907
6428,Vistara,12/06/2019,Chennai,Kolkata,MAA â†’ CCU,17:45,20:05,2h 20m,non-stop,No info,11982
2713,Jet Airways,1/06/2019,Banglore,Delhi,BLR â†’ DEL,08:20,11:20,3h,non-stop,No info,8016
769,Vistara,9/05/2019,Kolkata,Banglore,CCU â†’ DEL â†’ BLR,07:10,23:25,16h 15m,1 stop,No info,8085
9973,Air India,24/06/2019,Delhi,Cochin,DEL â†’ GOI â†’ BOM â†’ COK,22:00,19:15 25 Jun,21h 15m,2 stops,No info,9181
1863,Air India,6/03/2019,Delhi,Cochin,DEL â†’ JAI â†’ BOM â†’ COK,12:00,07:40 07 Mar,19h 40m,2 stops,No info,14746
9495,Air India,12/06/2019,Banglore,Delhi,BLR â†’ DEL,10:00,12:45,2h 45m,non-stop,No info,6961
7863,Air India,21/05/2019,Kolkata,Banglore,CCU â†’ GAU â†’ DEL â†’ BLR,16:45,08:55 22 May,16h 10m,2 stops,No info,14960
2453,SpiceJet,18/03/2019,Kolkata,Banglore,CCU â†’ BLR,17:15,19:45,2h 30m,non-stop,No check-in baggage included,4413
